review,rating,date
"sumpah ini bagus banget, awalnya ragu buat order eh begitu datang aslinya ternyata cantik banget dan pas banget ukurannya (*´∀`*) thankyuu yaa",bintang 5,
"pengiriman cpt tiba, packing aman, brg sesuai deskripsi, bner2 diksh yg bgs tdk ada yg cacat.... tp syg dkt telapak kaki alasnya tipis bget tdk ada bantalan kaki sm skali...",bintang 5,
"Tampilan Elegant, bagus..bahan lembut lentur 👍 pengiriman cepat pula.",bintang 5,6 bulan lalu
Bagus banget 😍😍😍 ngg berat dan nyaman,bintang 5,5 bulan lalu
Barang cepat sampe dan sesuai pesanan.... cukup puas,bintang 5,4 bulan lalu
"Asli keren banget , tidak ada yg lecet atau rusak, bakal beli lg nih bt cream nya hmmmmm bagussss sepatu nya",bintang 5,7 bulan lalu
"Warna: Ok
Bentuk dan ukuran: Pas
Daya tahan pakai: Blum tau",bintang 5,7 bulan lalu
"Nyaman dan lembut dikaki, tdk sakit walau pemakaian lama",bintang 5,2 bulan lalu
"size sesuai
warna sesuai
bahan bagus

sukses seller",bintang 5,
terimakasih banyaakk.. enak ringan cuma nge pas bgt di kakinya.. next order lagi yg size 39 .. sukses selalu ya kak,bintang 5,6 bulan lalu
"Bagus banget bangt banget😍udah 2x beli sepatu di toko ini dan selalu puas pokoknya, love love dehhh, walaupun kotaknya agak penyok dikit tapi dalamnya tetepp aman kok gu...",bintang 5,1 minggu lalu
Sepatunya Bagus. Sayang size 40 nya kekecilan di kaki Saya. Berharap model ini Ada size sampe 43. Tp produknya sangat bagus. Terima kasih seller dan tiktok 😘😘😘,bintang 5,6 bulan lalu
"bagus bgt pas di kaki q,di pke jg nyaman",bintang 5,6 bulan lalu
Plisss jangan ragu co sepatu boots ini coz bahan nya kulit lentur dan nyaman sekali dipakainya,bintang 5,6 bulan lalu
"Maasyaa Allaah sepatunya bagus banget sesuai banget dengan apa yang di sampaikan oleh kakanya..🥰🥰🥰
Bentuk dan ukuran: Bagus dan pas di kaki",bintang 5,2 bulan lalu
Nyaman kalau di pakai,bintang 5,1 bulan lalu
"bagus bgtt pliisss😭buat kalian yg masi maju mundur buat beli jgn ragu deh,bnr2 bagus bahan nya jg anti air,bnr2 cakep bgtt gaiisss sukakk🫶🏻",bintang 5,6 bulan lalu
